CPU,GPU,Better_GPU
5.469e-6,0.000125952,false
1.588e-6,4.1984e-5,false
1.105e-6,4.3008e-5,false
1.212e-6,3.8912e-5,false
1.141e-6,3.8912e-5,false
1.853e-6,3.6864003e-5,false
1.12e-6,3.6864003e-5,false
1.707e-6,3.4816e-5,false
8.4e-7,3.3792e-5,false
9.94e-7,3.7888003e-5,false
